,strain,host,experiment,time,time_stage
MZ,LILI,no_host,myc,myc,myc
NBIn6h,LILI,NB,in_planta,6h,bio
NBIn18h,LILI,NB,in_planta,18h,bio
NBIn24h,LILI,NB,in_planta,24h,bio
NBIn30h,LILI,NB,in_planta,30h,switch
NBIn48h,LILI,NB,in_planta,48h,necro
NBIn72h,LILI,NB,in_planta,72h,necro
MPIn1dA,ARI,MP,in_planta,1d,early
MPIn1dB,ARI,MP,in_planta,1d,early
MPIn1dC,ARI,MP,in_planta,1d,early
MPIn2dA,ARI,MP,in_planta,2d,early
MPIn2dB,ARI,MP,in_planta,2d,early
MPIn2dC,ARI,MP,in_planta,2d,early
MPIn3dA,ARI,MP,in_planta,3d,bio
MPIn3dB,ARI,MP,in_planta,3d,bio
MPIn3dC,ARI,MP,in_planta,3d,bio
MPIn4dA,ARI,MP,in_planta,4d,bio
MPIn4dB,ARI,MP,in_planta,4d,bio
MPIn4dC,ARI,MP,in_planta,4d,bio
Myc1,ARI,no_host,myc,myc,myc
Myc2,ARI,no_host,myc,myc,myc
Myc3,ARI,no_host,myc,myc,myc
